09:14:04 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:14:55 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:15:38 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:19:46 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:20:47 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:27:27 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
09:32:01 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
11:38:44 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:12:54 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:30:18 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:30:23 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:31:49 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:31:57 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:32:49 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:32:55 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:33:36 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:34:50 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:34:58 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:35:46 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:35:50 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:36:41 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:36:54 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:37:51 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:37:57 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:39:09 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:40:31 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:41:02 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:41:09 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:41:35 theme ran; beautiful.fg_color=#ccd0d9 rounded=9
08:41:42 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:41:45 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:42:09 theme ran; beautiful.fg_color=#ccd0d9 rounded=8
08:42:14 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:42:17 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:43:33 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:43:38 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:46:32 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:46:42 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:46:50 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:47:02 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
08:47:11 theme ran; beautiful.fg_color=#ccd0d9 rounded=7
